Title,Content,Label,Class
"Ato Declaratorio nº 01, de 2013",publicado doe ato declaratório secretário fazenda estado ceará uso atribuições legais resolve revogar pedido contribuinte termo acordo fdi pcdm agosto celebrado empresa tecno indústria comércio computadores ltda inscrita cgf sob ato declaratório gera efeito partir fevereiro publique-se cumpra-se dê-se ciência interessada secretario fazenda estado ceará janeiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratorio nº 02, de 2013",publicado doe ato declaratório secretário fazenda estado ceará uso atribuições legais resolve revogar pedido contribuinte termo acordo fdi pcdm outubro celebrado empresa tecno indústria comércio computadores ltda inscrita cgf sob ato declaratório gera efeito partir fevereiro publique-se cumpra-se dê-se ciência interessada secretario fazenda estado ceará janeiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 1998",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando disposto art decreto estadual julho considerando descumprimento continuado sistemático obrigações tributárias parte substitutos tributários abaixo apontados especialmente indadimplência quanto repasse icms retido estado resolve fica suspensa condição substituo tributário seguintes contribuintes estabelecidos outras unidades federação relativamente operações realizadas destino estado hebron s indústrias químicas farmacêuticas inscrito cgf sob boa esperança lubrificantes ltda inscrito cgf sob endoterápica brasil indústria farmacêutica ltda inscrita cgf sob enquanto perdurar situação inadimplência operações realizadas contribuintes arrolados item anterior destino estado ficam sujeitas recolhimento icms sob regime substituição tributária ocasião passagem mercadoria primeiro posto fiscal entrada neste estado través gnr momento saída mercadoria estabelecimento remetente devendo via referida guia acompanhar mercadoria destino publique-se cumpra-se dê-se ciência contribuintes órgãos fiscais interessados gabinete secretário fazenda janeiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 1999",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando extrai peças processo interesse firma indústria pesca beberibe ltda cgf tendo vista extravio notas fiscais série d utilizadas resolve declarar inidôneas notas fiscais série d numeração utilizadas originadas aidf paidf sob esclarecer sendo inidôneas notas fiscais válidas acobertar trânsito mercadorias conferem destinatário direito aproveitamento crédito icms nelas destacado determinar sob pena incorrer infração contribuinte faça anotar livro registro utilização documentos fiscais termos ocorrências rudfto número data publicação deste ato diário oficial estado publique-se cumpra-se dê ciência interessada gabinete secretário fazenda janeiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2000",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando entendimento esposado mediante parecer maio referente processo considerando efeito ressarcimento refere artigo decreto ricms valida adoção qualquer procedimento diverso daquele ali explicativo resolve declarar nulo nenhum efeito partir data publicação deste ato declaratório parecer maio refere processo publique-se cumpra-se cientifique-se parte interessada secretaria fazenda estado ceará março ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2001",ato declaratório coordenadores superintendência administração tributária satri uso atribuições legais considerando liminar obtida empresa temac comercial ltda junto vara fazenda pública resolvem sustar suspensão atos credenciamento concedidos empresa temac comercial ltda inscrita cnpj sob cgf sob realizada através ato declaratório expedido dezembro ato declaratório produzirá efeitos partir data publicação superintendência adminsitração tributária janeiro coordenador satri,atos declaratorios,0
"Ato Declaratório nº 01, de 2002",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando conclusão trabalhos realizados comissão processante conforme relatórios apensos processos s considerando disposto inciso i art decreto ricms considerando ainda verificada hipótese legal artigo supracitado falta exibição documento livro fiscal solicitados autoridades fazendárias promover qualquer outra manifestação embaraço salvo motivo justificado verificando-se motivo justificado conforme informações contidas autos processos acima referidos resolve expedir presente ato declaratório suspensão temporária inscrição cgf empresas seguir especificadas incorreram irregularidade prevista inciso i art decreto ricms prazo sessenta dias razão social comércio veículos crajubar s cgf razão social indústria comércio confecções j g ltda cgf secretaria fazenda estado ceará janeiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2003",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando conclusão trabalhos realizados comissão suspensão cassação conforme relatórios apensos processo considerando disposto inciso i parágrafo único art decreto ricms considerando ainda motivo justificado conforme informações contidas autos processo acima referido resolve expedir presente ato declaratório suspensão temporária inscrição cgf empresa seguir especificada incorreu irregularidade prevista inciso i parágrafo único art decreto ricms prazo sessenta dias razão social girlenne ferreira nogueira cgf secretaria fazenda estado ceará janeiro paulo rubens fontenele albuquerque secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2004",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando entendimento contido parecer abril referente processo considerando concessão diferimento operações trata inciso v art decreto julho condicionado análise nesut condições estabelecidas citado artigo resolve declarar nulo nenhum efeito partir data publicação deste ato declaratório parecer referente processo publique-se cumpra-se cientifique-se parte interessada secretaria fazenda estado ceará janeiro josé maria martins mendes secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2005",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando informação fiscal exarada cexat-iguatu termos ci resolve tornar efeito termo acordo agosto publique-se cumpra-se secretaria fazenda estado ceará janeiro josé maria martins mendes secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2006",ato declaratório publicado doe coordenador coordenadoria administração tributária catri uso atribuições legais resolve declarar inidôneos quaisquer efeito documentos arrecadação estadual dae's cancelados conforme numeração abaixo dae's referidos item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se coordenadoria administração tributária catri fortaleza janeiro pedro júnior nunes silva coord administração tributária,atos declaratorios,0
"Ato Declaratório nº 01, de 2007",ato declaratório publicado doe coordenador coordenadoria administração tributária catri uso atribuições legais considerando solicitação contida processos s enviada comissão dae's pendentes resolve declarar inidôneos quaisquer efeito documentos arrecadação estadual dae's cancelados conforme numeração abaixo dae's referidos item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se coordenadoria administração tributária catri janeiro josé carlos cavalcante coordenador catri,atos declaratorios,0
"Ato Declaratório nº 01, de 2008",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode revogar próprios atos motivo conveniência oportunidade resolve tornar efeito termo acordo aditivos s ato declaratório entra vigor data publicação publique-se cumpra-se dê ciência interessada encaminhar cópia cecoi secretaria fazenda estado ceará fortaleza janeiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2009",ato declaratório publicado doe orientador célula controle iformações uso atribuições legais resolve declarar inidôneos ais tipo formulário extraviados abaixo relacionados conforme solicitação constante processo esclarecer sendo considerados inidôneos referidos formulários válidos efeito lançamento créditos tributários ais formulário ais formulário ais formulário publique-se cumpra-se secretaria fazenda estado ceará fortaleza janeiro ivete maurício lima orientadora cecoi,atos declaratorios,0
"Ato Declaratório nº 01, de 2010",ato declaratório publicado doe coordenador administração tributária catri uso atribuições legais tendo vista informações constantes guia estorno emitida coordenadoria execução tributária corex peça integrante processo resolve d eclarar inidôneo quaisquer efeitos documento arrecadação estadual dae identificador único contribuinte liderança distribuidora material construção ltda cgf referente icms antecipado código receita emitido recolhido caixa econômica federal s valor r novecentos quarenta cinco reais cinq enta oito centavos relativo cheque aa banco itaú datado honrado contribuinte responsável dae referido item anterior validade c omprovar quitação recolhimento receitas penalidade pecuniária cobertar mercadoria circulação porventura estocada s er utilizado efeito crédito fiscal p ublique-se cumpra-se t ramite-se cepag-cotes conforme dispõe art incisos ii alínea d instrução normativa coordenadoria administração tributária catri fortaleza janeiro josé carlos cavalcante coordenador administração fazendária,atos declaratorios,0
"Ato Declaratório nº 01, de 2011",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode anular próprios atos eivados vícios tornam ilegais porque originam direitos considerando detectado erro valor ressarcimento deferido meio parecer considerando empresa ainda apropriou integralidade crédito ressarcido ainda sendo possível correção prejuízo empresa comercial automotiva ltda cgf resolve anular parcialmente parecer setembro empresa comercial automotiva ltda cgf correspondente processo estabelecer anulação fica limitada seguinte excerto último corroborando entendimento manifestado informação fiscal fls deferimento pleito autorizando ressarcimento icms valor r duzentos quarenta quatro mil quatrocentos nove reais oitenta seis centavos ser compensado forma determinada art instrução normativa descrita seguir determinar parágrafo acima passará ter seguinte redação último corroborando entendimento manifestado informação fiscal fls deferimento pleito autorizando ressarcimento icms valor r duzentos vinte nove mil oitocentos sessenta oito reais noventa nove centavos ser compensado forma determinada art instrução normativa descrita seguir ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza janeiro,atos declaratorios,0
"Ato Declaratório nº 01, de 2012",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando expressa determinação contribuinte interessado solucionar pendências relativamente cumprimento obrigações tributária notadamente refere auto infração conforme processo resolve revogar ato declaratório dezembro ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza janeiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2014",ato declaratório fevereiro publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode revogar próprios atos motivos conveniência oportunidade considerando necessária adequação redação final parecer deixando esclarecido deveriam ser computadas penalidades previstas sistema itcd considerando tal medida necessária fins operacionalizar procedimentos serem tomados célula controle informações cecoi resolve revogar parecer janeiro emitido atenção pleito sra lana carla mendonça freire antunes cpf correspondente processo caso tela deferiu-se parcialmente pedido requerente relativamente pagamento imposto sobre transmissão causa mortis doação itcd faltando indicação expressa deveriam computar eventualidades penalidades dispostas sistemas informatizados ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza fevereiro joão marcos maia secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2015",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando procuradoria-geral estado ceará obteve decisão favorável pedido suspensão execução antecipação tutela referente processo autor empresa distribuidora pneus senhora glória ltda inscrita cnpj sob cgf resolve declarar suspensos efeitos regime especial tributação concessivo regime especial empresa distribuidora pneus senhora glória ltda suspensão efeitos regime especial tributação forma item anterior passará surtir efeitos partir data proferida decisão oriunda tribunal justiça estado ceará sentido suspender execução decisão antecipatória tutela determinou exclusão empresa sócios cadine emissão certidões positivas efeito negativa publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza fevereiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2016",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais conferidas considerando preceito contido artigo decreto redação determinada decreto dispõe sobre cassação definitiva contribuinte cadastro geral fazenda cgf sempre identificado grave dano prejuízo estado sociedade estabilidade mercado distribuição bens serviços considerando contribuinte j pineo oliveira cgf devidamente intimado apresentar pedido reconsideração declaração inidoneidade considerando contribuinte ingressou recurso reconsideração declaração inidoneidade dentro prazo estabelecido resolve i cassar definitivamente inscrição cadastro geral fazenda cgf empresa j pineo oliveira sob número cgf mantendo-se todos efeitos cassação provisória declarada através ato declaratório doe nov publique-se cumpra-se gabinete secretário fazenda estado ceará fortaleza janeiro,atos declaratorios,0
"Ato Declaratório nº 01, de 2017",coordenadoria administração tributária catri célula consultoria normas cecon ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode rever retificar próprios atos administrativos eivados vícios passíveis saneamento ainda revogá-los motivo conveniência oportunidade considerando detectado equívoco tange número guia itcd cuja exclusão deferida parecer trata reconhecimento ocorrência empréstimo doação considerando necessário parecer determine fidelidade guia itcd ser excluída considerando informações contidas declarações imposto renda donatário demais documentos sendo certo única doação ser excluída refere-se guia itcd resolve parecer dezembro cuja requerente sra adriane moura silva cpf correspondente processo onde lê guia itcd leia-se guia itcd ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza janeiro joão marcos maia secretário adjunto fazenda,atos declaratorios,0
"Ato Declaratório nº 01, de 2018",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode anular próprios atos eivados vícios tornem ilegais conforme súmula supremo tribunal federal considerando parecer autorizou restituição icms cujo valor respectivo havia sido restituído meio parecer setembro resolve anular parecer setembro emitido relação processo figura interessada empresa wandré comércio representações ltda epp ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência parte interessada secretaria fazenda estado ceará fortaleza janeiro joão marcos maia secretário adjunto fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 1998",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando sistemática tributária adotada forma regime especial concedido através termo acordo alterações posteriores celebrado secretaria fazenda companhia energética ceará coelce mostrado incoveniente interesses administração pública virtude implantação nova legislação icms instituída lei decreto resolve declarar rescindido termo acordo concessivo regime especial companhia energética ceará coelce revogação termo acordo forma item anterior passará surtir efeitos partir abril devendo coelce ater disposições contidas legislação tributária vigor publique-se cumpra-se cientifique-se partes gabinete secretário fazenda fevereiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 1999",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando contido processo interesse centro pesquisa análise fiscal cepaf sefaz atesta através comunicação interna enviada satri firma individual wilamy alves paz nome fantasia atacadão alves inscrita cgf sob constituída mediante fraude fiscal falsidades ideológica material resolve declarar inidôneas seiscentas notas fiscais modelo pertencentes àquele contribuinte assim distribuídas documentos fiscais selos fiscais paidf aidf numeração numeração esp inicial final série inicial final nf ac nf ac nf ac esclarecer sendo consideradas inidôneas notas fiscais válidas acobertar trânsito mercadorias conferem destinatário direito aproveitamento crédito icms nelas porventura destacado determinar sob pena incorrer infração contribuinte deve fazer constar livro registro utilização documentos fiscais termos ocorrências rudfto número deste ato declaratório inidoneidade data publicação deste diário oficial estado publique-se cumpra-se gabinete secretário fazenda janeiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2000",ato declaratório secretário fazenda estado ceará uso atribuições legais resolve declarar inidôneos selos ficais autenticidade série ac s extraviados empresa j b gráfica editora ltda cgf distribuídos nexat joaquim távora meio lançamento esclarecer sendo considerados inidôneos selos ficais extraviados servem legalizar documentos fiscais venham apostos secretaria fazenda estado ceará março ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2001",ato declaratório revogado ato declaratório secretário fazenda estado ceará uso atribuições legais considerando disposto artigo decreto julho considerando constatada prática irregularidades fiscais parte usina manoel costa filho s cgf conforme processo administrativo considerando informações contidas relatório comissão suspensão resolve expedir presente ato declaratório suspensão temporária inscrição cgf empresa seguir especificada incorreu irregularidade prevista inciso iii artigo ricms prazo sessenta dias razão social cgf usina manoel costa filho ltda secretaria fazenda estado ceará janeiro ednilton gomes soárez secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2002",ato declaratório publicado doe coordenador administração fazendária superintendência administração tributária satri uso atribuições legais tendo vista informações constantes guia estorno emitida núcleo execução passaré peça integrante processo resolve declarar inidôneo quaisquer efeito documento arrecadação estadual dae identificador único contribuinte recopy comércio representação ltda cgf referente icms diferencial alíquota código receita emitido recolhido banco estado ceará valor r seiscentos quarenta cinco reais cinquenta sete centavos relativo cheque banco brasil s datado honrado contribuinte responsável dae referido item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se superintendência administração tributária satri fortaleza fevereiro coordenação administração fazendária,atos declaratorios,0
"Ato Declaratório nº 02, de 2003",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando entendimento emposado parecer março manifesta entendimento sentido bebidas energéticas alcoólicas base taurina cafeína aromas artificiais corantes etc enquadram-se regime substituição tributária previsto protocolo icms considerando ainda referido produto estando classificado nbm sh posição outras bebidas alimentares base leite cacau etc tratar-se cerveja chope refrigerante modificamos entendimento sentido bebidas energéticas sujeitas regime substituição tributária contida protocolo icms resolve declarar nulo efeito partir fevereiro parecer março referente processo publique-se cumpra-se cientifique-se parte interessada secretaria fazenda estado ceará fevereiro paulo rubens fontenele albuquerque secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2004",ato declaratório publicado doe coordenador administração tributária catri uso atribuições legais tendo vista informações constantes guia estorno emitida célula execução água fria peça integrante processo resolve declarar inidôneo quaisquer efeito documento arrecadação estadual dae identificador único contribuinte ponto armazém distribuidor alimentos ltda cgf referente icms antecipado código receita emitido recolhido banco estado ceará valor r hum mil seiscentos noventa dois reais cinq enta centavos relativo cheque unibanco honrado contribuinte responsável dae referido item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se tramite-se cepag-cotes conforme dispõe art incisos ii alínea d instrução normativa coordenadoria administração tributária catri fortaleza janeiro coordenadoria administração tributária,atos declaratorios,0
"Ato Declaratório nº 02, de 2005",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando disposições constantes art decreto regulamento icms art instrução normativa considerando informações anexas emitidas célula execução administração tributária cexat messejana ministério público procuradoria geral justiça resolve determinar cassação inscrição cadastro geral fazenda empresa inconord indústria comércio couros ltda cgf ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessado secretaria fazenda estado ceará janeiro josé maria martins mendes secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2006",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando decisão foro próprio comunicado empresa tela onde solicita processo desistência contrato prestação serviço arrecadação tributos estaduais ser interessante empresa continuidade resolve tornar efeito contrato prestação serviço arrecadação tributos estaduais firmado janeiro empresa cnc central negócio cobrança ltda secretaria fazenda estado ceará ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessado secretaria fazenda estado ceará janeiro joão alfredo montenegro franco secretário fazenda exercício,atos declaratorios,0
"Ato Declaratório nº 02, de 2007",ato declaratório publicado doe coordenador coordenadoria administração tributária catri uso atribuições legais considerando solicitação contida processo enviada comissão dae's pendentes resolve declarar inidôneos quaisquer efeito documentos arrecadação estadual dae's cancelados conforme numeração abaixo dae's referidos item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se coordenadoria administração tributária catri janeiro josé carlos cavalcante coordenador catri,atos declaratorios,0
"Ato Declaratório nº 02, de 2008",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode revogar próprios atos motivo conveniência oportunidade resolve tornar efeito termo acordo aditivos s ato declaratório entra vigor data publicação publique-se cumpra-se dê ciência interessada encaminhar cópia cecoi secretaria fazenda estado ceará fortaleza janeiro joão marcos maia secretário fazenda exercício,atos declaratorios,0
"Ato Declaratório nº 02, de 2009",ato declaratório publicado doe coordenador coordenadoria administração tributária catri uso atribuições legais considerando solicitação contida processo enviado comissão dae's pendentes resolve declarar inidôneos quaisquer efeito documentos arrecadação estadual dae's cancelados conforme numeração abaixo dae's referidos item anterior validade comprovar quitação recolhimento receitas penalidade pecuniária acobertar mercadoria circulação porventura estocada ser utilizado efeito crédito fiscal publique-se cumpra-se coordenadoria administração tributária catri fevereiro josé carlos cavalcante coordenador catri,atos declaratorios,0
"Ato Declaratório nº 02, de 2010",ato declaratório publicado doe coordenador administração fazendária tributária catri uso atribuições legais tendo vista informações constantes guia estorno emitida coordenadoria execução tributária corex peça integrante processo resolve d eclarar inidôneo quaisquer efeitos documento arrecadação estadual dae identificador único contribuinte liderança distribuidora material construção ltda cgf referente icms substituição código receita emitido recolhido caixa econômica federal s valor r dois mil duzentos setenta dois reais noventa sete centavos relativo cheque aa banco itaú datado honrado contribuinte responsável dae referido item anterior validade c omprovar quitação recolhimento receitas penalidade pecuniária cobertar mercadoria circulação porventura estocada s er utilizado efeito crédito fiscal publique-se cumpra-se t ramite-se cepag-cotes conforme dispõe art incisos ii alínea d instrução normativa coordenadoria administração tributária catri fortaleza janeiro josé carlos cavalcante coordenador administração fazendária,atos declaratorios,0
"Ato Declaratório nº 02, de 2011",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando conclusão trabalhos realizados comissão suspensão cassação conforme relatórios constante processo considerando disposto art decreto julho ricms considerando ainda motivo justificado suficiente conforme informações contidas autos processo acima referido levasse outro procedimento resolve expedir presente ato declaratório suspensão inscrição cadastro geral fazenda cgf empresa seguir especificada incorreu irregularidade prevista art inciso i decreto ricms razão social realplast indústria comércio ltda cgf ato declaratório entra vigor data publicação publique-se cumpra-se dê ciência interessada secretaria fazenda estado ceará fortaleza fevereiro carlos mauro benevides filho secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2012",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando cláusula quinta termo acordo prevê possibilidade revogação desinteresse continuidade deste parte secretaria fazenda resolve tornar efeitos legais termo acordo janeiro celebrado empresa transcleber tranportes ltda inscrita cgf sob ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza janeiro joão marcos maia secretário adjunto fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2014",ato declaratório março publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode anular próprios atos eivados vícios tornem ilegais conforme súmula supremo tribunal federal considerando parecer catri cecon julho determina equivocadamente emissão certificado regularidade créditos fiscais valor r dois milhões seiscentos trinta oito mil seiscentos trinta nove reais cinquenta centavos objetivo participação licitação modalidade pregão presencial sob resolve anular parecer catri cecon julho figura interessado empresa foncepi comercial exportadora ltda correspondente processo virtude ofensa art lei ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza março joão marcos maia secretário fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2016",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais conferidas considerando preceito contido artigo decreto redação determinada decreto dispõe sobre cassação definitiva contribuinte cadastro geral fazenda cgf sempre identificado grave dano prejuízo estado sociedade estabilidade mercado distribuição bens serviços considerando contribuinte p r oliveira aguiar eireli cgf devidamente intimado apresentar pedido reconsideração declaração inidoneidade considerando contribuinte ingressou recurso reconsideração declaração inidoneidade dentro prazo estabelecido resolve i cassar definitivamente inscrição cadastro geral fazenda cgf empresa p r oliveira aguiar eireli sob número cgf mantendo-se todos efeitos cassação provisória declarada através ato declaratório doe nov publique-se cumpra-se gabinete secretário fazenda estado ceará fortaleza janeiro,atos declaratorios,0
"Ato Declaratório nº 02, de 2017",ato declaratório publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode revogar próprios atos motivo conveniência oportunidade resolve revogar parecer outubro emitido relação processo figura interessada empresa têxtil união s tendo vista dispõe protocolo icms setembro acerca remessa algodão pluma estado bahia industrialização estado ceará suspensão icms ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência parte interessada identificada parecer revogado secretaria fazenda estado ceará fortaleza fevereiro joão marcos maia secretário adjunto fazenda,atos declaratorios,0
"Ato Declaratório nº 02, de 2018",ato declaratório fevereiro publicado doe secretário fazenda estado ceará uso atribuições legais considerando administração pública pode rever retificar próprios atos administrativos eivados vícios tornam ilegais ainda revogá-los motivo conveniência oportunidade considerando parecer catri cecon novembro determina equivocadamente restituição juros multa moratória relativos crédito tributário imposto sobre propriedade veículos automotores ipva recolhido indevidamente considerando finalmente aludido parecer carece reforma parcial fins autorizar tão somente restituição valor efetivamente recolhido forma indevida erário resolve reformar parcialmente parecer novembro figura interessado sr josé alves bezerra correspondente processo fins determinar restituição efetuada valor principal crédito tributário ipva recolhido indevidamente valor r trezentos dezoito reais sessenta oito centavos ato declaratório entra vigor data publicação publique-se cumpra-se dê-se ciência interessada secretaria fazenda estado ceará fortaleza fevereiro joão marcos maia secretário adjunto fazenda,atos declaratorios,0
